size    stride  elapsed(s)      cycles
4096    1       0.002077        2079
4096    2       0.002069        2069
4096    4       0.000645        645
4096    8       0.000643        643
4096    16      0.000723        723
4096    32      0.000723        723
4096    64      0.000727        727
4096    128     0.000727        727
4096    256     0.000708        708
4096    512     0.000715        715
4096    1024    0.000462        462
4096    2048    0.000492        492
8192    1       0.001336        1336
8192    2       0.001289        1289
8192    4       0.001341        1341
8192    8       0.001348        1347
8192    16      0.001401        1400
8192    32      0.001452        1452
8192    64      0.001441        1442
8192    128     0.001451        1451
8192    256     0.001457        1458
8192    512     0.001417        1416
8192    1024    0.001430        1430
8192    2048    0.000987        987
8192    4096    0.001061        1061
16384   1       0.002684        2683
16384   2       0.002615        2615
16384   4       0.002598        2598
16384   8       0.002666        2666
16384   16      0.002710        2710
16384   32      0.002832        2832
16384   64      0.002812        2812
16384   128     0.002881        2880
16384   256     0.002923        2923
16384   512     0.002957        2957
16384   1024    0.002847        2847
16384   2048    0.002868        2868
16384   4096    0.002151        2151
16384   8192    0.002120        2120
32768   1       0.005069        5069
32768   2       0.005120        5120
32768   4       0.005167        5168
32768   8       0.005423        5423
32768   16      0.005532        5532
32768   32      0.005686        5686
32768   64      0.005677        5676
32768   128     0.005473        5474
32768   256     0.005827        5827
32768   512     0.005894        5893
32768   1024    0.005897        5897
32768   2048    0.005565        5565
32768   4096    0.005669        5669
32768   8192    0.004302        4303
32768   16384   0.004240        4240
65536   1       0.010739        10739
65536   2       0.010628        10628
65536   4       0.010412        10412
65536   8       0.010942        10942
65536   16      0.010703        10702
65536   32      0.011187        11188
65536   64      0.010970        10970
65536   128     0.010996        10996
65536   256     0.011129        11129
65536   512     0.011815        11815
65536   1024    0.011650        11651
65536   2048    0.018751        18751
65536   4096    0.015866        15866
65536   8192    0.011401        11400
65536   16384   0.008559        8558
65536   32768   0.008493        8492
131072  1       0.021300        21300
131072  2       0.021194        21193
131072  4       0.021333        21334
131072  8       0.021514        21514
131072  16      0.021225        21226
131072  32      0.021823        21823
131072  64      0.021443        21443
131072  128     0.021447        21447
131072  256     0.021943        21943
131072  512     0.022848        22848
131072  1024    0.023679        23678
131072  2048    0.062334        62335
131072  4096    0.051849        51849
131072  8192    0.033239        33239
131072  16384   0.022183        22184
131072  32768   0.016792        16791
131072  65536   0.020151        20151
262144  1       0.042534        42535
262144  2       0.041938        41939
262144  4       0.043200        43200
262144  8       0.043470        43470
262144  16      0.042702        42702
262144  32      0.043486        43486
262144  64      0.042594        42594
262144  128     0.042547        42547
262144  256     0.043369        43368
262144  512     0.044157        44156
262144  1024    0.044775        44775
262144  2048    0.140150        140149
262144  4096    0.168753        168753
262144  8192    0.122899        122898
262144  16384   0.085111        85111
262144  32768   0.044362        44362
262144  65536   0.034009        34010
262144  131072  0.034527        34527
524288  1       0.085178        85179
524288  2       0.083808        83808
524288  4       0.084537        84537
524288  8       0.087192        87192
524288  16      0.083937        83937
524288  32      0.085801        85801
524288  64      0.078763        78764
524288  128     0.085250        85250
524288  256     0.086584        86584
524288  512     0.088081        88081
524288  1024    0.089663        89664
524288  2048    0.272111        272111
524288  4096    0.337045        337046
524288  8192    0.338173        338173
524288  16384   0.278485        278484
524288  32768   0.153342        153342
524288  65536   0.089735        89735
524288  131072  0.068837        68833
524288  262144  0.067463        67463
1048576 1       0.165445        165444
1048576 2       0.169667        169667
1048576 4       0.170954        170954
1048576 8       0.173879        173879
1048576 16      0.172357        172357
1048576 32      0.178579        178578
1048576 64      0.283276        283276
1048576 128     0.398142        398142
1048576 256     0.458917        458917
1048576 512     0.526456        526456
1048576 1024    0.644489        644488
1048576 2048    0.724450        724450
1048576 4096    0.883211        883210
1048576 8192    0.793958        793958
1048576 16384   0.726222        726223
1048576 32768   0.656253        656253
1048576 65536   0.328930        328930
1048576 131072  0.179905        179904
1048576 262144  0.143660        143660
1048576 524288  0.140848        140848
2097152 1       0.322798        322798
2097152 2       0.337845        337845
2097152 4       0.341521        341522
2097152 8       0.347557        347557
2097152 16      0.344428        344429
2097152 32      0.380439        380440
2097152 64      0.879077        879077
2097152 128     1.244681        1244682
2097152 256     1.523891        1523890
2097152 512     1.589081        1589081
2097152 1024    1.548413        1548414
2097152 2048    1.751238        1751239
2097152 4096    2.168779        2168779
2097152 8192    2.240144        2240144
2097152 16384   2.040802        2040802
2097152 32768   1.431433        1431433
2097152 65536   1.281714        1281714
2097152 131072  0.774189        774189
2097152 262144  0.366356        366357
2097152 524288  0.279390        279390
2097152 1048576 0.278703        278704
4194304 1       0.675432        675431
4194304 2       0.676104        676105
4194304 4       0.683253        683253
4194304 8       0.694915        694915
4194304 16      0.689804        689804
4194304 32      0.771264        771263
4194304 64      1.894318        1894318
4194304 128     2.589118        2589118
4194304 256     3.398706        3398706
4194304 512     3.452450        3452450
4194304 1024    3.194920        3194921
4194304 2048    3.495992        3495993
4194304 4096    4.430811        4430811
4194304 8192    5.080302        5080302
4194304 16384   4.827351        4827350
4194304 32768   4.576437        4576437
4194304 65536   3.386756        3386756
4194304 131072  2.437011        2437011
4194304 262144  1.433591        1433591
4194304 524288  0.728824        728824
4194304 1048576 0.569570        569569
4194304 2097152 0.563113        563113
