size    stride  elapsed(s)      cycles
4096    1       0.001862        1864
4096    2       0.001845        1846
4096    4       0.000696        696
4096    8       0.000700        699
4096    16      0.000723        723
4096    32      0.000794        795
4096    64      0.000805        805
4096    128     0.000810        809
4096    256     0.000787        788
4096    512     0.000722        721
4096    1024    0.000463        463
4096    2048    0.000492        493
8192    1       0.001301        1302
8192    2       0.001332        1331
8192    4       0.001329        1329
8192    8       0.001389        1388
8192    16      0.001411        1411
8192    32      0.001432        1432
8192    64      0.001456        1456
8192    128     0.001544        1544
8192    256     0.001620        1620
8192    512     0.001465        1465
8192    1024    0.001446        1447
8192    2048    0.000993        993
8192    4096    0.001075        1075
16384   1       0.002583        2582
16384   2       0.002799        2799
16384   4       0.002910        2910
16384   8       0.002849        2849
16384   16      0.002993        2993
16384   32      0.003028        3028
16384   64      0.003129        3129
16384   128     0.003200        3201
16384   256     0.003232        3232
16384   512     0.003247        3247
16384   1024    0.003055        3055
16384   2048    0.002918        2918
16384   4096    0.002448        2447
16384   8192    0.002382        2382
32768   1       0.005726        5726
32768   2       0.005744        5744
32768   4       0.005816        5816
32768   8       0.005255        5255
32768   16      0.005420        5420
32768   32      0.005229        5228
32768   64      0.005519        5520
32768   128     0.005619        5620
32768   256     0.005763        5763
32768   512     0.005600        5599
32768   1024    0.005865        5865
32768   2048    0.005194        5194
32768   4096    0.005127        5127
32768   8192    0.003924        3924
32768   16384   0.003911        3910
65536   1       0.009590        9590
65536   2       0.009565        9566
65536   4       0.009573        9573
65536   8       0.010008        10007
65536   16      0.011084        11084
65536   32      0.010816        10816
65536   64      0.010791        10791
65536   128     0.010983        10983
65536   256     0.010351        10351
65536   512     0.011641        11641
65536   1024    0.011840        11840
65536   2048    0.014508        14507
65536   4096    0.018127        18126
65536   8192    0.010212        10212
65536   16384   0.008476        8476
65536   32768   0.009425        9424
131072  1       0.020287        20287
131072  2       0.021245        21245
131072  4       0.021063        21063
131072  8       0.021372        21372
131072  16      0.021241        21241
131072  32      0.020893        20894
131072  64      0.021968        21969
131072  128     0.020223        20224
131072  256     0.020207        20207
131072  512     0.020633        20633
131072  1024    0.022162        22161
131072  2048    0.039807        39807
131072  4096    0.053123        53123
131072  8192    0.035495        35494
131072  16384   0.021896        21896
131072  32768   0.016979        16979
131072  65536   0.017807        17807
262144  1       0.042460        42460
262144  2       0.041748        41748
262144  4       0.042943        42943
262144  8       0.043176        43175
262144  16      0.042721        42721
262144  32      0.042404        42404
262144  64      0.047360        47360
262144  128     0.043413        43414
262144  256     0.042975        42975
262144  512     0.044056        44057
262144  1024    0.045046        45046
262144  2048    0.082417        82417
262144  4096    0.153099        153099
262144  8192    0.133579        133579
262144  16384   0.080129        80129
262144  32768   0.045126        45127
262144  65536   0.034975        34974
262144  131072  0.033919        33919
524288  1       0.084928        84928
524288  2       0.083979        83979
524288  4       0.084561        84562
524288  8       0.086898        86898
524288  16      0.086016        86016
524288  32      0.084174        84173
524288  64      0.086601        86601
524288  128     0.084962        84962
524288  256     0.086065        86065
524288  512     0.087349        87349
524288  1024    0.089768        89767
524288  2048    0.272411        272411
524288  4096    0.303780        303780
524288  8192    0.309556        309556
524288  16384   0.206862        206862
524288  32768   0.173293        173293
524288  65536   0.091947        91947
524288  131072  0.071165        71164
524288  262144  0.068839        68838
1048576 1       0.170413        170413
1048576 2       0.169572        169572
1048576 4       0.169899        169899
1048576 8       0.171696        171696
1048576 16      0.173582        173582
1048576 32      0.170775        170775
1048576 64      0.223568        223568
1048576 128     0.362116        362116
1048576 256     0.384408        384409
1048576 512     0.400394        400394
1048576 1024    0.615344        615344
1048576 2048    0.668860        668860
1048576 4096    0.790176        790175
1048576 8192    0.616566        616566
1048576 16384   0.622415        622415
1048576 32768   0.306707        306707
1048576 65536   0.340565        340565
1048576 131072  0.180869        180868
1048576 262144  0.136517        136517
1048576 524288  0.140952        140952
2097152 1       0.339824        339824
2097152 2       0.339870        339871
2097152 4       0.358627        358626
2097152 8       0.346052        346052
2097152 16      0.354009        354009
2097152 32      0.352017        352017
2097152 64      0.642230        642230
2097152 128     1.214707        1214708
2097152 256     1.464525        1464525
2097152 512     1.516647        1516646
2097152 1024    1.543324        1543324
2097152 2048    1.822739        1822738
2097152 4096    2.296953        2296953
2097152 8192    1.555410        1555409
2097152 16384   1.230091        1230091
2097152 32768   1.276411        1276410
2097152 65536   0.649495        649495
2097152 131072  0.717703        717703
2097152 262144  0.363405        363404
2097152 524288  0.280224        280225
2097152 1048576 0.279861        279861
4194304 1       0.681324        681324
4194304 2       0.679565        679565
4194304 4       0.684643        684643
4194304 8       0.696859        696859
4194304 16      0.702442        702442
4194304 32      0.664697        664697
4194304 64      1.328338        1328338
4194304 128     2.581685        2581685
4194304 256     3.207240        3207240
4194304 512     3.266794        3266794
4194304 1024    3.127800        3127800
4194304 2048    3.657459        3657459
4194304 4096    4.735566        4735566
4194304 8192    4.776935        4776935
4194304 16384   3.199274        3199274
4194304 32768   2.477410        2477410
4194304 65536   2.450371        2450370
4194304 131072  2.238335        2238335
4194304 262144  1.305481        1305481
4194304 524288  0.727950        727950
4194304 1048576 0.553583        553583
4194304 2097152 0.557186        557186
