size    stride  elapsed(s)      cycles
4096    1       0.001933        1934
4096    2       0.001887        1888
4096    4       0.000710        711
4096    8       0.000666        666
4096    16      0.000716        716
4096    32      0.000722        721
4096    64      0.000751        751
4096    128     0.000774        774
4096    256     0.000783        783
4096    512     0.000763        763
4096    1024    0.000476        476
4096    2048    0.000503        503
8192    1       0.001335        1335
8192    2       0.001327        1327
8192    4       0.001337        1337
8192    8       0.001373        1373
8192    16      0.001404        1403
8192    32      0.001437        1436
8192    64      0.001475        1475
8192    128     0.001485        1485
8192    256     0.001510        1510
8192    512     0.001416        1416
8192    1024    0.001587        1587
8192    2048    0.001086        1086
8192    4096    0.001178        1178
16384   1       0.002828        2828
16384   2       0.002573        2572
16384   4       0.002626        2626
16384   8       0.002696        2696
16384   16      0.002830        2830
16384   32      0.002714        2714
16384   64      0.002896        2896
16384   128     0.002972        2971
16384   256     0.002934        2934
16384   512     0.002942        2943
16384   1024    0.002735        2735
16384   2048    0.002749        2749
16384   4096    0.002021        2021
16384   8192    0.002133        2133
32768   1       0.005050        5050
32768   2       0.005108        5108
32768   4       0.005160        5160
32768   8       0.005205        5205
32768   16      0.005372        5372
32768   32      0.005534        5534
32768   64      0.005526        5526
32768   128     0.005515        5516
32768   256     0.005804        5803
32768   512     0.005850        5850
32768   1024    0.005888        5888
32768   2048    0.005644        5644
32768   4096    0.005761        5761
32768   8192    0.004221        4221
32768   16384   0.004234        4234
65536   1       0.010646        10647
65536   2       0.010370        10370
65536   4       0.010561        10562
65536   8       0.010663        10662
65536   16      0.010801        10801
65536   32      0.010915        10915
65536   64      0.010921        10921
65536   128     0.011031        11031
65536   256     0.011283        11283
65536   512     0.011459        11458
65536   1024    0.011443        11443
65536   2048    0.017257        17257
65536   4096    0.021797        21797
65536   8192    0.011451        11451
65536   16384   0.008666        8666
65536   32768   0.008502        8502
131072  1       0.020994        20994
131072  2       0.020590        20590
131072  4       0.021115        21116
131072  8       0.021368        21368
131072  16      0.021763        21763
131072  32      0.021503        21504
131072  64      0.021714        21715
131072  128     0.021752        21752
131072  256     0.022117        22117
131072  512     0.022439        22439
131072  1024    0.023146        23146
131072  2048    0.028325        28325
131072  4096    0.037252        37252
131072  8192    0.043575        43575
131072  16384   0.022651        22651
131072  32768   0.017382        17382
131072  65536   0.016965        16965
262144  1       0.042150        42150
262144  2       0.041995        41995
262144  4       0.042531        42531
262144  8       0.042900        42900
262144  16      0.043249        43250
262144  32      0.043210        43210
262144  64      0.043081        43081
262144  128     0.043344        43343
262144  256     0.043748        43748
262144  512     0.044031        44031
262144  1024    0.045291        45291
262144  2048    0.086071        86070
262144  4096    0.158278        158278
262144  8192    0.144475        144475
262144  16384   0.074654        74653
262144  32768   0.045292        45292
262144  65536   0.033568        33569
262144  131072  0.033921        33920
524288  1       0.084794        84794
524288  2       0.084940        84941
524288  4       0.084782        84782
524288  8       0.085407        85407
524288  16      0.086757        86757
524288  32      0.085301        85302
524288  64      0.097876        97876
524288  128     0.099282        99282
524288  256     0.093764        93764
524288  512     0.090027        90026
524288  1024    0.262202        262201
524288  2048    0.292523        292523
524288  4096    0.331086        331086
524288  8192    0.295804        295804
524288  16384   0.277573        277573
524288  32768   0.161234        161234
524288  65536   0.092381        92381
524288  131072  0.070185        70185
524288  262144  0.067974        67974
1048576 1       0.169369        169369
1048576 2       0.169263        169262
1048576 4       0.169943        169944
1048576 8       0.171378        171378
1048576 16      0.173161        173161
1048576 32      0.170244        170244
1048576 64      0.218695        218695
1048576 128     0.338496        338496
1048576 256     0.380901        380901
1048576 512     0.408099        408099
1048576 1024    0.623815        623815
1048576 2048    0.660491        660491
1048576 4096    0.777714        777714
1048576 8192    0.605359        605359
1048576 16384   0.597421        597422
1048576 32768   0.593934        593934
1048576 65536   0.359239        359239
1048576 131072  0.181713        181713
1048576 262144  0.140519        140520
1048576 524288  0.139624        139624
2097152 1       0.339833        339834
2097152 2       0.340114        340115
2097152 4       0.341545        341545
2097152 8       0.345228        345227
2097152 16      0.350656        350656
2097152 32      0.351005        351005
2097152 64      0.644089        644089
2097152 128     1.239953        1239953
2097152 256     1.514094        1514095
2097152 512     1.556413        1556413
2097152 1024    1.528714        1528714
2097152 2048    1.778902        1778902
2097152 4096    2.113695        2113695
2097152 8192    1.962029        1962029
2097152 16384   1.285843        1285842
2097152 32768   1.184982        1184981
2097152 65536   0.765153        765153
2097152 131072  0.723836        723837
2097152 262144  0.363653        363652
2097152 524288  0.272896        272897
2097152 1048576 0.284800        284800
4194304 1       0.680682        680682
4194304 2       0.679993        679993
4194304 4       0.682930        682930
4194304 8       0.691075        691075
4194304 16      0.702629        702629
4194304 32      0.693884        693883
4194304 64      1.335793        1335793
4194304 128     2.587623        2587623
4194304 256     3.195426        3195425
4194304 512     3.276409        3276408
4194304 1024    3.142131        3142130
4194304 2048    3.512102        3512102
4194304 4096    4.445570        4445570
4194304 8192    4.859683        4859682
4194304 16384   4.193343        4193343
4194304 32768   2.560044        2560044
4194304 65536   2.485977        2485977
4194304 131072  2.419257        2419257
4194304 262144  1.247027        1247027
4194304 524288  0.728257        728257
4194304 1048576 0.550674        550674
4194304 2097152 0.555305        555305
