size    stride  elapsed(s)      cycles
4096    1       0.002069        2071
4096    2       0.001640        1640
4096    4       0.000680        680
4096    8       0.000732        732
4096    16      0.000795        795
4096    32      0.000809        809
4096    64      0.000807        806
4096    128     0.000810        810
4096    256     0.000787        787
4096    512     0.000792        792
4096    1024    0.000516        516
4096    2048    0.000547        547
8192    1       0.001389        1390
8192    2       0.001293        1293
8192    4       0.001326        1326
8192    8       0.001382        1382
8192    16      0.001375        1375
8192    32      0.001417        1417
8192    64      0.001445        1445
8192    128     0.001586        1586
8192    256     0.001618        1617
8192    512     0.001574        1574
8192    1024    0.001506        1506
8192    2048    0.001383        1383
8192    4096    0.001063        1063
16384   1       0.002545        2545
16384   2       0.002599        2599
16384   4       0.002605        2605
16384   8       0.002633        2633
16384   16      0.002779        2779
16384   32      0.002814        2814
16384   64      0.002745        2745
16384   128     0.002925        2925
16384   256     0.002915        2916
16384   512     0.002944        2944
16384   1024    0.002848        2848
16384   2048    0.002874        2873
16384   4096    0.002192        2192
16384   8192    0.002259        2259
32768   1       0.005219        5219
32768   2       0.005358        5358
32768   4       0.005190        5191
32768   8       0.005233        5233
32768   16      0.005443        5443
32768   32      0.005395        5395
32768   64      0.004924        4925
32768   128     0.005135        5135
32768   256     0.005309        5309
32768   512     0.005316        5317
32768   1024    0.005864        5864
32768   2048    0.005699        5699
32768   4096    0.004828        4828
32768   8192    0.004186        4187
32768   16384   0.003926        3927
65536   1       0.009735        9735
65536   2       0.010074        10075
65536   4       0.010293        10293
65536   8       0.010614        10613
65536   16      0.010681        10681
65536   32      0.010992        10992
65536   64      0.010783        10783
65536   128     0.010956        10956
65536   256     0.011385        11385
65536   512     0.011744        11744
65536   1024    0.011743        11743
65536   2048    0.016295        16295
65536   4096    0.021432        21431
65536   8192    0.010320        10321
65536   16384   0.008602        8602
65536   32768   0.008923        8924
131072  1       0.021401        21401
131072  2       0.019375        19375
131072  4       0.019211        19211
131072  8       0.019018        19018
131072  16      0.019664        19663
131072  32      0.020001        20001
131072  64      0.020889        20889
131072  128     0.023058        23059
131072  256     0.022151        22151
131072  512     0.021054        21054
131072  1024    0.021678        21679
131072  2048    0.063141        63141
131072  4096    0.034334        34335
131072  8192    0.042801        42801
131072  16384   0.022325        22325
131072  32768   0.017093        17093
131072  65536   0.016973        16973
262144  1       0.042567        42566
262144  2       0.041689        41689
262144  4       0.041671        41671
262144  8       0.038388        38388
262144  16      0.039835        39835
262144  32      0.040174        40174
262144  64      0.038916        38915
262144  128     0.041204        41204
262144  256     0.042212        42211
262144  512     0.044608        44608
262144  1024    0.045656        45655
262144  2048    0.143566        143565
262144  4096    0.167020        167020
262144  8192    0.105155        105154
262144  16384   0.086319        86319
262144  32768   0.045129        45129
262144  65536   0.034068        34069
262144  131072  0.033974        33974
524288  1       0.090374        90374
524288  2       0.086688        86688
524288  4       0.084663        84663
524288  8       0.085467        85468
524288  16      0.086762        86762
524288  32      0.088133        88134
524288  64      0.086353        86352
524288  128     0.085431        85431
524288  256     0.086386        86386
524288  512     0.086875        86875
524288  1024    0.089553        89553
524288  2048    0.286361        286361
524288  4096    0.336247        336246
524288  8192    0.338403        338403
524288  16384   0.152106        152106
524288  32768   0.183850        183850
524288  65536   0.089739        89739
524288  131072  0.068042        68042
524288  262144  0.068710        68710
1048576 1       0.169159        169159
1048576 2       0.168414        168414
1048576 4       0.170144        170144
1048576 8       0.172431        172431
1048576 16      0.171547        171547
1048576 32      0.177407        177407
1048576 64      0.234962        234963
1048576 128     0.343224        343224
1048576 256     0.382046        382046
1048576 512     0.374075        374075
1048576 1024    0.608825        608825
1048576 2048    0.674185        674185
1048576 4096    0.795394        795394
1048576 8192    0.673943        673944
1048576 16384   0.672903        672904
1048576 32768   0.379293        379293
1048576 65536   0.376186        376186
1048576 131072  0.181938        181939
1048576 262144  0.141807        141807
1048576 524288  0.138285        138285
2097152 1       0.337445        337445
2097152 2       0.339661        339661
2097152 4       0.340793        340793
2097152 8       0.345623        345623
2097152 16      0.342124        342124
2097152 32      0.376583        376582
2097152 64      0.868444        868444
2097152 128     1.241148        1241148
2097152 256     1.547426        1547426
2097152 512     1.489665        1489665
2097152 1024    1.563598        1563598
2097152 2048    1.790216        1790216
2097152 4096    2.299524        2299524
2097152 8192    1.691335        1691335
2097152 16384   1.346218        1346218
2097152 32768   1.343006        1343006
2097152 65536   1.055238        1055238
2097152 131072  0.739007        739007
2097152 262144  0.361725        361726
2097152 524288  0.279042        279042
2097152 1048576 0.281239        281238
4194304 1       0.683297        683297
4194304 2       0.676533        676533
4194304 4       0.683346        683346
4194304 8       0.689320        689320
4194304 16      0.691498        691498
4194304 32      0.763507        763507
4194304 64      1.842824        1842824
4194304 128     2.678006        2678006
4194304 256     3.346984        3346984
4194304 512     3.434748        3434748
4194304 1024    3.263173        3263173
4194304 2048    3.770677        3770677
4194304 4096    4.569228        4569228
4194304 8192    4.440636        4440635
4194304 16384   2.825826        2825826
4194304 32768   2.452548        2452548
4194304 65536   2.535791        2535792
4194304 131072  2.056524        2056525
4194304 262144  1.384521        1384521
4194304 524288  0.670716        670716
4194304 1048576 0.512066        512066
4194304 2097152 0.505055        505056
